PanStarrs_name,dr7objid,ra_panstarr,dec_panstarr,ra_sdss,dec_sdss,spherical_cos_distance
NGC5205 ,588011125190885402,3.5345519638799896,1.0910327170909118,3.534551485629319,1.0910323680460192,0.9999999999999147
UGC9067 ,587742627983851568,3.7121306631570783,0.26545428178575076,3.7121304369914143,0.26545410234316724,0.9999999999999603
NGC6814 ,587727212536070769,5.160403654731496,-0.1801788907967094,5.387682800698097,-0.11873291394707804,0.9729903163153116
PGC27792 ,588297865257091195,2.544271170387254,0.7172086731208054,2.5449684639058434,0.7164441675161265,0.9999995695928743
NGC2486 ,587734623237111914,2.0854129399307317,0.43913984963334046,2.0854130264548534,0.4391399081375851,0.9999999999999951
NGC5657 ,587739610250412044,3.7992615136739145,0.509301561964737,3.799261759017448,0.5093006201221953,0.9999999999995334
UGC448 ,587724234248486992,0.1848638781078378,0.5173442136908519,0.18205112618892022,0.2825210711074411,0.9725522043203304
NGC1832 ,587727177940009179,1.3615988937228287,-0.27380393692729166,1.1050641967232455,-0.11354016508182058,0.9558821485687451
NGC5668 ,587729159513571471,3.8109510308720713,0.07767518022830683,3.810948600483024,0.07767570276524977,0.9999999999969277
NGC4725 ,587742190981939260,3.3616919367685933,0.44507292189257003,3.361044302089663,0.4439443575509707,0.9999991922350142
IC1199 ,587742629070569729,4.234921351311703,0.17523751461846304,4.236568057150333,0.1748231607756974,0.9999985994496948
NGC3994 ,587739505541578866,3.131183684463824,0.5633507437075721,3.1311836830723783,0.563350835973581,0.9999999999999958
UGC7154 ,587738947219881993,3.1853363642313024,0.6961046754044656,3.1853338839711474,0.6961066352895767,0.9999999999962683
UGC8781 ,587742014903943216,3.6319388926803207,0.3759325762394406,3.631938811216554,0.3759326260520451,0.9999999999999959
PGC28310 ,587745244163866807,2.575183045835176,0.2842560156857849,2.57518316544142,0.28425576572603006,0.9999999999999623
UGC9837 ,587725816423383204,4.031105117389385,1.013214943462717,4.031104531155332,1.0132155797551665,0.9999999999997494
NGC177 ,587727177916416083,0.16394017290322896,-0.3935586563553314,0.15528507822893098,-0.195802550933207,0.9804759724717085
NGC5000 ,587739706865877000,3.446115258016811,0.5045214542093748,3.4461151559360284,0.5045213568462873,0.9999999999999912
